filename,RelFreq NOUN,RelFreq ADJ,RelFreq VERB,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
1021.b4.txt,1370.91,1081.49,479.82,403.66,0,0,4
0105.b4.txt,1209.26,1166.38,523.16,548.89,0,0,4
1069.b4.txt,1254.1,1172.13,557.38,704.92,0,0,6
2018.b4.txt,1243.86,1358.43,409.17,368.25,0,0,3
1528.b4.txt,1389.45,1142.28,527.72,527.72,0,0,3
1112.b4.txt,1344.81,1210.96,446.14,420.65,0,0,3
1097.b4.txt,1475.41,1081.97,557.38,465.57,0,0,3
1057.b4.txt,1428.57,1128.83,465.56,350.77,0,0,2
0103.b4.txt,1336.37,1138.95,592.26,455.58,0,0,2
0300.b4.txt,1581.59,1112.97,451.88,334.73,0,0,6
1520.b4.txt,1274.63,966.75,578.82,406.4,0,0,3
0107.b4.txt,1806.45,1240.14,652.33,243.73,0,0,6
0139.b4.txt,1523.49,1073.83,516.78,308.72,0,0,7
1023.b4.txt,1253.2,946.29,805.63,792.84,0,0,3
0308.b4.txt,1353.9,1036.85,531.28,565.55,0,0,1
1100.b4.txt,1514.61,1062.89,478.3,301.15,0,0,2
0318.b4.txt,1406.76,939.38,374.83,351.69,0,0,3
0310.b4.txt,1522.49,1107.27,663.21,397.92,0,0,2
1508.b4.txt,1290.09,1093.29,488.34,313.41,0,0,3
0158.b4.txt,1377.87,1203.9,605.43,563.67,0,0,1
0178.b4.txt,1532.88,1089.15,653.49,625.25,0,0,0
0219.b4.txt,1533.46,920.07,483.27,418.22,0,0,2
1003.b4.txt,1572.2,1153.85,492.58,209.18,0,0,3
0140.b4.txt,1162.41,1129.43,395.71,469.91,0,0,5
0165.b4.txt,1168.73,998.45,433.44,371.52,0,0,5
0200.b4.txt,1229.28,959.94,704.42,718.23,0,0,2
1532.b4.txt,1192.2,1148.84,390.17,520.23,0,0,4
2034.b4.txt,1316.78,872.84,632.05,361.17,0,0,5
2030.b4.txt,1306.78,1160.03,489.17,419.29,0,0,4
