filename,RelFreq NOUN,RelFreq ADJ,RelFreq VERB,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0310.b3.txt,1750.21,718.98,805.26,562.86,0,6,11
0103.b3.txt,1861.84,560.24,589.72,244.31,0,1,39
1533.b3.txt,1709.78,893.29,707.36,339.53,0,0,15
1097.b3.txt,1585.6,836.58,904.67,530.16,0,1,10
0165.b3.txt,1723.0,652.75,629.56,248.51,0,0,21
0171.b3.txt,1622.81,789.47,814.54,313.28,0,0,19
0122.b3.txt,1390.32,793.0,597.32,262.62,0,2,14
0307.b3.txt,1616.27,736.67,769.65,230.9,0,4,20
0139.b3.txt,1963.66,838.22,838.22,363.42,0,1,8
0200.b3.txt,1786.19,783.53,843.29,424.97,0,0,4
2018.b3.txt,1792.78,1030.27,675.2,296.86,0,0,13
1102.b3.txt,1681.42,707.96,921.83,435.1,0,4,4
1520.b3.txt,1173.54,774.81,530.13,285.46,0,1,29
0313.b3.txt,1718.5,546.25,769.54,279.11,0,2,13
2034.b3.txt,1421.05,1142.11,605.26,394.74,0,0,11
1100.b3.txt,1622.01,745.84,658.94,304.13,0,2,4
1057.b3.txt,1804.95,949.05,649.2,366.81,0,1,15
0140.b3.txt,2699.75,647.6,580.32,277.54,0,0,2
1069.b3.txt,1459.68,706.3,653.33,397.29,0,1,24
1508.b3.txt,1531.87,865.84,651.76,313.99,0,1,19
1066.b3.txt,1705.51,884.53,958.69,429.03,0,0,8
0303.b3.txt,1512.42,767.49,812.64,428.89,0,0,1
0304.b3.txt,1699.06,835.13,611.95,439.16,0,4,9
1536.b3.txt,1823.06,745.31,680.97,466.49,0,3,6
1023.b3.txt,1256.41,724.36,769.23,448.72,0,0,7
1112.b3.txt,1591.28,888.53,823.91,460.42,0,0,9
0308.b3.txt,1765.08,901.59,844.44,704.76,0,1,4
1532.b3.txt,1625.78,846.56,663.78,365.56,0,3,19
0130.b3.txt,1575.98,759.75,693.02,426.08,0,5,12
1082.b3.txt,2103.9,675.32,886.36,318.18,0,2,17
0134.b3.txt,1562.14,940.77,807.2,813.01,0,0,10
1534.b3.txt,1701.17,832.58,972.1,499.55,0,0,9
0133.b3.txt,1305.14,768.53,559.35,359.25,0,4,19
0300.b3.txt,1593.05,843.67,803.97,292.8,0,1,14
0105.b3.txt,1385.14,861.49,760.14,396.96,0,0,8
